,Page Title,Car Price,Item Condition,Car Location,Image Links,Brand,Mileage,Model,Seat Capacity,Variant,Type,Series,Manufactured Year,Country of Origin,Transmission,Engine CC,Compression Ratio,Peak Power (Bhp),Peak Torque (Nm),Engine Type,Fuel Type,Length(mm),Width(mm),Height(mm),Wheel Base (mm),Kerb Weight (kg),Fuel Tank (litres),Front Brakes,Rear Brakes,Front Suspension,Rear Suspension,Steering,Front Tyres,Rear Tyres,Front Rim(inches),Rear Rim(inches),Loan Monthly Payment,Interest Rate,Features
1871, 2015 Toyota VELLFIRE 2.5 Z G FULL SPEC JBL,    RM 261 000     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/15/157929045305227.jpg', 'https://img.rnudah.com/thumbs/15/150929043155012.jpg', 'https://img.rnudah.com/thumbs/15/153929049528116.jpg', 'https://img.rnudah.com/thumbs/15/150929047714668.jpg', 'https://img.rnudah.com/thumbs/15/150929041471177.jpg', 'https://img.rnudah.com/thumbs/15/151929049113808.jpg', 'https://img.rnudah.com/thumbs/15/158929047300360.jpg', 'https://img.rnudah.com/thumbs/15/157929044813378.jpg', 'https://img.rnudah.com/thumbs/15/158929045616525.jpg', 'https://img.rnudah.com/thumbs/15/153929049036267.jpg', 'https://img.rnudah.com/thumbs/15/154929045875751.jpg', 'https://img.rnudah.com/thumbs/15/159929047015665.jpg', 'https://img.rnudah.com/thumbs/15/155929042715235.jpg', 'https://img.rnudah.com/thumbs/15/153929047948425.jpg', 'https://img.rnudah.com/thumbs/15/159929049891486.jpg', 'https://img.rnudah.com/thumbs/15/156929047586189.jpg', 'https://img.rnudah.com/thumbs/15/152929047249422.jpg', 'https://img.rnudah.com/thumbs/15/158929046912655.jpg', 'https://img.rnudah.com/thumbs/15/153929041809078.jpg', 'https://img.rnudah.com/thumbs/15/152929045565587.jpg', 'https://img.rnudah.com/thumbs/15/154929044892053.jpg']",TOYOTA   ,  15 000 - 19 999  ,VELLFIRE   ,7 ,Z G-EDITION ,4D WAGON ,AGH30W , 2015  ,JAPAN ,CONTINUOUS VARIABLE TRANSMISSION,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,1830 ,4865 ,1900 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,215/60 R17 ,215/60 R17 ,17 ,17 ,RM3 521/month,3.7,-
1872, 2015 Toyota VELLFIRE 2.5 ZA,    RM 222 900     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/11/110925045999324.jpg', 'https://img.rnudah.com/thumbs/11/113925041569281.jpg', 'https://img.rnudah.com/thumbs/11/118925043409332.jpg', 'https://img.rnudah.com/thumbs/11/117925044886013.jpg', 'https://img.rnudah.com/thumbs/11/119925041932651.jpg', 'https://img.rnudah.com/thumbs/11/110925048979289.jpg']",TOYOTA   ,  15 000 - 19 999  ,VELLFIRE   ,7 ,ZA ,4D WAGON ,DBA-AGH35W , 2015  ,JAPAN ,CVT,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM3 007/month,3.7,-
1873, 2005 REG 2010 Toyota WISH 2.0 Z FACELIFT(A)OFFER,   RM 38 800      ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/99/992913048720730.jpg', 'https://img.rnudah.com/thumbs/99/997913041337325.jpg', 'https://img.rnudah.com/thumbs/99/990913045430601.jpg', 'https://img.rnudah.com/thumbs/99/998913042140472.jpg', 'https://img.rnudah.com/thumbs/99/999913049187110.jpg', 'https://img.rnudah.com/thumbs/99/994913041803705.jpg', 'https://img.rnudah.com/thumbs/99/997913045896981.jpg']",TOYOTA   ,  80 000 - 84 999  ,WISH   ,7 ,Z ,4D WAGON ,ANE10G FACELIFT , 2005  ,JAPAN ,CONTINUOUS VARIABLE TRANSMISSION,1998 ,10.5  ,114 ,192 ,ELECTRONIC F/INJ ,PETROL ,1695 ,4550 ,1590 ,2750 ,1360 ,60 ,Ventilated Disc ,Solid Disc ,Strut system Coil spring ,Torsion beam system Coil spring ,RACK &amp; PINION ,195/65 R15 ,195/65 R15 ,15 ,15 ,RM483/month,3.7,-
1874, 2009 Proton Persona 1.6 (A),    RM 10 700     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/06/069920048266430.jpg', 'https://img.rnudah.com/thumbs/06/060920046789749.jpg', 'https://img.rnudah.com/thumbs/06/061920045313068.jpg', 'https://img.rnudah.com/thumbs/06/062920043836387.jpg', 'https://img.rnudah.com/thumbs/06/063920042359706.jpg', 'https://img.rnudah.com/thumbs/06/064920040883025.jpg', 'https://img.rnudah.com/thumbs/06/064920049406344.jpg', 'https://img.rnudah.com/thumbs/06/065920047929663.jpg', 'https://img.rnudah.com/thumbs/06/066920046452982.jpg', 'https://img.rnudah.com/thumbs/06/067920044976301.jpg', 'https://img.rnudah.com/thumbs/06/068920043499620.jpg', 'https://img.rnudah.com/thumbs/06/069920042022939.jpg']",PROTON   ,  100 000 - 109 999  ,PERSONA   ,5 ,BASE LINE ,4D SEDAN , -, 2009  ,MALAYSIA ,4 SP AUTOMATIC,1597 ,10  ,82 ,148 ,MULTI POINT F/INJ ,PETROL ,1725 ,4477 ,1438 ,2600 ,1195 ,50 ,DV ,DR ,McSt;SB; ,MLS;SB; ,RACK &amp; PINION ,195/60 R15 ,195/60 R15 ,6Jx15 ,6Jx15 ,RM144/month,3.7,-
1875, 2014 PROTON SAGA 1.3 (a) FLX 2 AIRBAG-RAYA OFFER,    RM 16 800     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/00/000914048936313.jpg', 'https://img.rnudah.com/thumbs/00/001914047459632.jpg', 'https://img.rnudah.com/thumbs/00/002914045982951.jpg', 'https://img.rnudah.com/thumbs/00/003914044506270.jpg', 'https://img.rnudah.com/thumbs/00/004914043029589.jpg', 'https://img.rnudah.com/thumbs/00/005914041552908.jpg']",PROTON   ,  35 000 - 39 999  ,SAGA   ,5 ,FLX EXECUTIVE ,4D SEDAN ,ENHANCED , 2014  ,MALAYSIA ,CVT AUTO 6 SP SEQUENTIAL,1332 ,10  ,70 ,120 ,MULTI POINT F/INJ ,PETROL ,1680 ,4278 ,1520 ,2465 ,1055 ,40 ,DV ,DR ,McSt;SB ,TBA ,RACK &amp; PINION - POWER ASSISTED ,175/70 R13 ,175/70 R13 ,5Jx13 ,5Jx13 ,RM227/month,3.7,-
1876, 2013 proton inspira 2.0 CVT Lancer Evo X bodykit,   RM 33 800      ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/00/009914044455148.jpg', 'https://img.rnudah.com/thumbs/00/000914042978467.jpg', 'https://img.rnudah.com/thumbs/00/002914048056575.jpg', 'https://img.rnudah.com/thumbs/00/002914048548424.jpg', 'https://img.rnudah.com/thumbs/00/008914049999636.jpg', 'https://img.rnudah.com/thumbs/00/002914044092912.jpg', 'https://img.rnudah.com/thumbs/00/009914042279464.jpg', 'https://img.rnudah.com/thumbs/00/000914049326102.jpg', 'https://img.rnudah.com/thumbs/00/001914041605930.jpg', 'https://img.rnudah.com/thumbs/00/001914043885758.jpg', 'https://img.rnudah.com/thumbs/00/009914049118948.jpg', 'https://img.rnudah.com/thumbs/00/001914044481751.jpg', 'https://img.rnudah.com/thumbs/00/006914045621665.jpg', 'https://img.rnudah.com/thumbs/00/007914046424812.jpg', 'https://img.rnudah.com/thumbs/00/002914041321235.jpg', 'https://img.rnudah.com/thumbs/00/006914046217658.jpg', 'https://img.rnudah.com/thumbs/00/009914044067443.jpg', 'https://img.rnudah.com/thumbs/00/002914049948698.jpg', 'https://img.rnudah.com/thumbs/00/006914040078311.jpg']",PROTON   ,  75 000 - 79 999  ,INSPIRA   ,5 ,EXECUTIVE CVT ,4D SEDAN , -, 2012  ,MALAYSIA ,6 SP AUTO SPORTS MODE,1998 ,10.1  ,110 ,197 ,MULTI POINT F/INJ ,PETROL ,1760 ,4570 ,1490 ,2635 ,1335 ,59 ,DV ,DS ,McSt;SB; ,MLS;CS;SB; ,RACK &amp; PINION - POWER ASSISTED ,205/60 R16 92H ,205/60 R16 92H ,6.5JJx16 ,6.5JJx16 ,RM402/month,3.7,-
1877, 2015 Toyota VELLFIRE 2.5 ZA (HARI RAYA PROMOTION),    RM 215 900     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/91/916905048703807.jpg', 'https://img.rnudah.com/thumbs/91/917905045543291.jpg', 'https://img.rnudah.com/thumbs/91/915905048496653.jpg', 'https://img.rnudah.com/thumbs/91/912905042123549.jpg', 'https://img.rnudah.com/thumbs/91/913905049170187.jpg', 'https://img.rnudah.com/thumbs/91/910905047356739.jpg', 'https://img.rnudah.com/thumbs/91/919905048833420.jpg']",TOYOTA   ,  15 000 - 19 999  ,VELLFIRE   ,7 ,ZA ,4D WAGON ,DBA-AGH35W , 2015  ,JAPAN ,CVT,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM2 912/month,3.7,-
1878, 2018 Toyota VELLFIRE 2.5 ZG 3LED SR PD PRE CRASH,    RM 295 000     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/89/894903044188958.jpg', 'https://img.rnudah.com/thumbs/89/890903049007840.jpg', 'https://img.rnudah.com/thumbs/89/890903042764349.jpg', 'https://img.rnudah.com/thumbs/89/898903047997539.jpg', 'https://img.rnudah.com/thumbs/89/896903044707410.jpg', 'https://img.rnudah.com/thumbs/89/893903042893962.jpg', 'https://img.rnudah.com/thumbs/89/899903042065346.jpg', 'https://img.rnudah.com/thumbs/89/897903047298536.jpg', 'https://img.rnudah.com/thumbs/89/895903044008407.jpg', 'https://img.rnudah.com/thumbs/89/891903043671640.jpg', 'https://img.rnudah.com/thumbs/89/891903045951468.jpg', 'https://img.rnudah.com/thumbs/89/896903042635870.jpg', 'https://img.rnudah.com/thumbs/89/893903040822422.jpg', 'https://img.rnudah.com/thumbs/89/890903047532293.jpg', 'https://img.rnudah.com/thumbs/89/890903041288802.jpg']",TOYOTA   ,  0 - 4 999  ,VELLFIRE   ,7 ,ZG ,4D WAGON ,DBA-AGH30W	 , 2018  ,JAPAN ,6 SP AUTOMATIC,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM3 979/month,3.7,-
1879, BMW X1 I-Drive GPS Navigation 1/2 Warranty,    RM 95 000     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/85/850930036434641.jpg', 'https://img.rnudah.com/thumbs/85/856930035038903.jpg', 'https://img.rnudah.com/thumbs/85/857930033562222.jpg', 'https://img.rnudah.com/thumbs/85/853930032004598.jpg', 'https://img.rnudah.com/thumbs/85/854930030527917.jpg', 'https://img.rnudah.com/thumbs/85/854930039051236.jpg', 'https://img.rnudah.com/thumbs/85/855930037574555.jpg', 'https://img.rnudah.com/thumbs/85/854930036308430.jpg', 'https://img.rnudah.com/thumbs/85/856930036097874.jpg', 'https://img.rnudah.com/thumbs/85/857930034621193.jpg', 'https://img.rnudah.com/thumbs/85/858930033144512.jpg', 'https://img.rnudah.com/thumbs/85/859930031667831.jpg', 'https://img.rnudah.com/thumbs/85/850930030191150.jpg', 'https://img.rnudah.com/thumbs/85/851930036178817.jpg', 'https://img.rnudah.com/thumbs/85/854930031748774.jpg', 'https://img.rnudah.com/thumbs/85/852930035761107.jpg', 'https://img.rnudah.com/thumbs/85/850930039935326.jpg', 'https://img.rnudah.com/thumbs/85/853930035505283.jpg', 'https://img.rnudah.com/thumbs/85/856930031075240.jpg', 'https://img.rnudah.com/thumbs/85/855930039854383.jpg', 'https://img.rnudah.com/thumbs/85/856930038377702.jpg']",BMW   ,  60 000 - 64 999  ,X1   ,5 ,sDrive20i (CKD) ,4D WAGON ,E84 FACELIFT , 2014  ,MALAYSIA ,8 SP AUTOMATIC STEPTRONIC,1997 ,10.5  ,135 ,270 ,TWIN TURBO DIRECT FI ,PETROL ,1798 ,4454 ,1545 ,2760 ,1585 ,63 ,DV ,DV ,McSt;TA;SB; ,CS;MLS;SB; ,RACK &amp; PINION - POWER ASSISTED ,225/50 R17 H ,225/50 R17 H ,7.5Jx17 ,7.5Jx17 ,RM1 281/month,3.7,-
1880, 2015 Toyota VELLFIRE 2.5 Z G FULL SPEC JBL,    RM 261 000     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/15/157929045305227.jpg', 'https://img.rnudah.com/thumbs/15/150929043155012.jpg', 'https://img.rnudah.com/thumbs/15/153929049528116.jpg', 'https://img.rnudah.com/thumbs/15/150929047714668.jpg', 'https://img.rnudah.com/thumbs/15/150929041471177.jpg', 'https://img.rnudah.com/thumbs/15/151929049113808.jpg', 'https://img.rnudah.com/thumbs/15/158929047300360.jpg', 'https://img.rnudah.com/thumbs/15/157929044813378.jpg', 'https://img.rnudah.com/thumbs/15/158929045616525.jpg', 'https://img.rnudah.com/thumbs/15/153929049036267.jpg', 'https://img.rnudah.com/thumbs/15/154929045875751.jpg', 'https://img.rnudah.com/thumbs/15/159929047015665.jpg', 'https://img.rnudah.com/thumbs/15/155929042715235.jpg', 'https://img.rnudah.com/thumbs/15/153929047948425.jpg', 'https://img.rnudah.com/thumbs/15/159929049891486.jpg', 'https://img.rnudah.com/thumbs/15/156929047586189.jpg', 'https://img.rnudah.com/thumbs/15/152929047249422.jpg', 'https://img.rnudah.com/thumbs/15/158929046912655.jpg', 'https://img.rnudah.com/thumbs/15/153929041809078.jpg', 'https://img.rnudah.com/thumbs/15/152929045565587.jpg', 'https://img.rnudah.com/thumbs/15/154929044892053.jpg']",TOYOTA   ,  15 000 - 19 999  ,VELLFIRE   ,7 ,Z G-EDITION ,4D WAGON ,AGH30W , 2015  ,JAPAN ,CONTINUOUS VARIABLE TRANSMISSION,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,1830 ,4865 ,1900 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,215/60 R17 ,215/60 R17 ,17 ,17 ,RM3 521/month,3.7,-
1881, 2015 Toyota VELLFIRE 2.5 ZA,    RM 222 900     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/11/110925045999324.jpg', 'https://img.rnudah.com/thumbs/11/113925041569281.jpg', 'https://img.rnudah.com/thumbs/11/118925043409332.jpg', 'https://img.rnudah.com/thumbs/11/117925044886013.jpg', 'https://img.rnudah.com/thumbs/11/119925041932651.jpg', 'https://img.rnudah.com/thumbs/11/110925048979289.jpg']",TOYOTA   ,  15 000 - 19 999  ,VELLFIRE   ,7 ,ZA ,4D WAGON ,DBA-AGH35W , 2015  ,JAPAN ,CVT,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM3 007/month,3.7,-
1882, 2005 REG 2010 Toyota WISH 2.0 Z FACELIFT(A)OFFER,   RM 38 800      ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/99/992913048720730.jpg', 'https://img.rnudah.com/thumbs/99/997913041337325.jpg', 'https://img.rnudah.com/thumbs/99/990913045430601.jpg', 'https://img.rnudah.com/thumbs/99/998913042140472.jpg', 'https://img.rnudah.com/thumbs/99/999913049187110.jpg', 'https://img.rnudah.com/thumbs/99/994913041803705.jpg', 'https://img.rnudah.com/thumbs/99/997913045896981.jpg']",TOYOTA   ,  80 000 - 84 999  ,WISH   ,7 ,Z ,4D WAGON ,ANE10G FACELIFT , 2005  ,JAPAN ,CONTINUOUS VARIABLE TRANSMISSION,1998 ,10.5  ,114 ,192 ,ELECTRONIC F/INJ ,PETROL ,1695 ,4550 ,1590 ,2750 ,1360 ,60 ,Ventilated Disc ,Solid Disc ,Strut system Coil spring ,Torsion beam system Coil spring ,RACK &amp; PINION ,195/65 R15 ,195/65 R15 ,15 ,15 ,RM483/month,3.7,-
1883, 2009 Proton Persona 1.6 (A),    RM 10 700     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/06/069920048266430.jpg', 'https://img.rnudah.com/thumbs/06/060920046789749.jpg', 'https://img.rnudah.com/thumbs/06/061920045313068.jpg', 'https://img.rnudah.com/thumbs/06/062920043836387.jpg', 'https://img.rnudah.com/thumbs/06/063920042359706.jpg', 'https://img.rnudah.com/thumbs/06/064920040883025.jpg', 'https://img.rnudah.com/thumbs/06/064920049406344.jpg', 'https://img.rnudah.com/thumbs/06/065920047929663.jpg', 'https://img.rnudah.com/thumbs/06/066920046452982.jpg', 'https://img.rnudah.com/thumbs/06/067920044976301.jpg', 'https://img.rnudah.com/thumbs/06/068920043499620.jpg', 'https://img.rnudah.com/thumbs/06/069920042022939.jpg']",PROTON   ,  100 000 - 109 999  ,PERSONA   ,5 ,BASE LINE ,4D SEDAN , -, 2009  ,MALAYSIA ,4 SP AUTOMATIC,1597 ,10  ,82 ,148 ,MULTI POINT F/INJ ,PETROL ,1725 ,4477 ,1438 ,2600 ,1195 ,50 ,DV ,DR ,McSt;SB; ,MLS;SB; ,RACK &amp; PINION ,195/60 R15 ,195/60 R15 ,6Jx15 ,6Jx15 ,RM144/month,3.7,-
1884, 2014 PROTON SAGA 1.3 (a) FLX 2 AIRBAG-RAYA OFFER,    RM 16 800     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/00/000914048936313.jpg', 'https://img.rnudah.com/thumbs/00/001914047459632.jpg', 'https://img.rnudah.com/thumbs/00/002914045982951.jpg', 'https://img.rnudah.com/thumbs/00/003914044506270.jpg', 'https://img.rnudah.com/thumbs/00/004914043029589.jpg', 'https://img.rnudah.com/thumbs/00/005914041552908.jpg']",PROTON   ,  35 000 - 39 999  ,SAGA   ,5 ,FLX EXECUTIVE ,4D SEDAN ,ENHANCED , 2014  ,MALAYSIA ,CVT AUTO 6 SP SEQUENTIAL,1332 ,10  ,70 ,120 ,MULTI POINT F/INJ ,PETROL ,1680 ,4278 ,1520 ,2465 ,1055 ,40 ,DV ,DR ,McSt;SB ,TBA ,RACK &amp; PINION - POWER ASSISTED ,175/70 R13 ,175/70 R13 ,5Jx13 ,5Jx13 ,RM227/month,3.7,-
1885, 2013 proton inspira 2.0 CVT Lancer Evo X bodykit,   RM 33 800      ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/00/009914044455148.jpg', 'https://img.rnudah.com/thumbs/00/000914042978467.jpg', 'https://img.rnudah.com/thumbs/00/002914048056575.jpg', 'https://img.rnudah.com/thumbs/00/002914048548424.jpg', 'https://img.rnudah.com/thumbs/00/008914049999636.jpg', 'https://img.rnudah.com/thumbs/00/002914044092912.jpg', 'https://img.rnudah.com/thumbs/00/009914042279464.jpg', 'https://img.rnudah.com/thumbs/00/000914049326102.jpg', 'https://img.rnudah.com/thumbs/00/001914041605930.jpg', 'https://img.rnudah.com/thumbs/00/001914043885758.jpg', 'https://img.rnudah.com/thumbs/00/009914049118948.jpg', 'https://img.rnudah.com/thumbs/00/001914044481751.jpg', 'https://img.rnudah.com/thumbs/00/006914045621665.jpg', 'https://img.rnudah.com/thumbs/00/007914046424812.jpg', 'https://img.rnudah.com/thumbs/00/002914041321235.jpg', 'https://img.rnudah.com/thumbs/00/006914046217658.jpg', 'https://img.rnudah.com/thumbs/00/009914044067443.jpg', 'https://img.rnudah.com/thumbs/00/002914049948698.jpg', 'https://img.rnudah.com/thumbs/00/006914040078311.jpg']",PROTON   ,  75 000 - 79 999  ,INSPIRA   ,5 ,EXECUTIVE CVT ,4D SEDAN , -, 2012  ,MALAYSIA ,6 SP AUTO SPORTS MODE,1998 ,10.1  ,110 ,197 ,MULTI POINT F/INJ ,PETROL ,1760 ,4570 ,1490 ,2635 ,1335 ,59 ,DV ,DS ,McSt;SB; ,MLS;CS;SB; ,RACK &amp; PINION - POWER ASSISTED ,205/60 R16 92H ,205/60 R16 92H ,6.5JJx16 ,6.5JJx16 ,RM402/month,3.7,-
1886, 2015 Toyota VELLFIRE 2.5 ZA (HARI RAYA PROMOTION),    RM 215 900     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/91/916905048703807.jpg', 'https://img.rnudah.com/thumbs/91/917905045543291.jpg', 'https://img.rnudah.com/thumbs/91/915905048496653.jpg', 'https://img.rnudah.com/thumbs/91/912905042123549.jpg', 'https://img.rnudah.com/thumbs/91/913905049170187.jpg', 'https://img.rnudah.com/thumbs/91/910905047356739.jpg', 'https://img.rnudah.com/thumbs/91/919905048833420.jpg']",TOYOTA   ,  15 000 - 19 999  ,VELLFIRE   ,7 ,ZA ,4D WAGON ,DBA-AGH35W , 2015  ,JAPAN ,CVT,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM2 912/month,3.7,-
1887, 2018 Toyota VELLFIRE 2.5 ZG 3LED SR PD PRE CRASH,    RM 295 000     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/89/894903044188958.jpg', 'https://img.rnudah.com/thumbs/89/890903049007840.jpg', 'https://img.rnudah.com/thumbs/89/890903042764349.jpg', 'https://img.rnudah.com/thumbs/89/898903047997539.jpg', 'https://img.rnudah.com/thumbs/89/896903044707410.jpg', 'https://img.rnudah.com/thumbs/89/893903042893962.jpg', 'https://img.rnudah.com/thumbs/89/899903042065346.jpg', 'https://img.rnudah.com/thumbs/89/897903047298536.jpg', 'https://img.rnudah.com/thumbs/89/895903044008407.jpg', 'https://img.rnudah.com/thumbs/89/891903043671640.jpg', 'https://img.rnudah.com/thumbs/89/891903045951468.jpg', 'https://img.rnudah.com/thumbs/89/896903042635870.jpg', 'https://img.rnudah.com/thumbs/89/893903040822422.jpg', 'https://img.rnudah.com/thumbs/89/890903047532293.jpg', 'https://img.rnudah.com/thumbs/89/890903041288802.jpg']",TOYOTA   ,  0 - 4 999  ,VELLFIRE   ,7 ,ZG ,4D WAGON ,DBA-AGH30W	 , 2018  ,JAPAN ,6 SP AUTOMATIC,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM3 979/month,3.7,-
1888, BMW X1 I-Drive GPS Navigation 1/2 Warranty,    RM 95 000     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/85/850930036434641.jpg', 'https://img.rnudah.com/thumbs/85/856930035038903.jpg', 'https://img.rnudah.com/thumbs/85/857930033562222.jpg', 'https://img.rnudah.com/thumbs/85/853930032004598.jpg', 'https://img.rnudah.com/thumbs/85/854930030527917.jpg', 'https://img.rnudah.com/thumbs/85/854930039051236.jpg', 'https://img.rnudah.com/thumbs/85/855930037574555.jpg', 'https://img.rnudah.com/thumbs/85/854930036308430.jpg', 'https://img.rnudah.com/thumbs/85/856930036097874.jpg', 'https://img.rnudah.com/thumbs/85/857930034621193.jpg', 'https://img.rnudah.com/thumbs/85/858930033144512.jpg', 'https://img.rnudah.com/thumbs/85/859930031667831.jpg', 'https://img.rnudah.com/thumbs/85/850930030191150.jpg', 'https://img.rnudah.com/thumbs/85/851930036178817.jpg', 'https://img.rnudah.com/thumbs/85/854930031748774.jpg', 'https://img.rnudah.com/thumbs/85/852930035761107.jpg', 'https://img.rnudah.com/thumbs/85/850930039935326.jpg', 'https://img.rnudah.com/thumbs/85/853930035505283.jpg', 'https://img.rnudah.com/thumbs/85/856930031075240.jpg', 'https://img.rnudah.com/thumbs/85/855930039854383.jpg', 'https://img.rnudah.com/thumbs/85/856930038377702.jpg']",BMW   ,  60 000 - 64 999  ,X1   ,5 ,sDrive20i (CKD) ,4D WAGON ,E84 FACELIFT , 2014  ,MALAYSIA ,8 SP AUTOMATIC STEPTRONIC,1997 ,10.5  ,135 ,270 ,TWIN TURBO DIRECT FI ,PETROL ,1798 ,4454 ,1545 ,2760 ,1585 ,63 ,DV ,DV ,McSt;TA;SB; ,CS;MLS;SB; ,RACK &amp; PINION - POWER ASSISTED ,225/50 R17 H ,225/50 R17 H ,7.5Jx17 ,7.5Jx17 ,RM1 281/month,3.7,-
1889, 2014 Honda ODYSSEY 2.4 ABSOLUTE EX 4 CAMERA 3 YRS,    RM 153 000     ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/72/723917035621372.jpg', 'https://img.rnudah.com/thumbs/72/724917034144691.jpg', 'https://img.rnudah.com/thumbs/72/725917032668010.jpg', 'https://img.rnudah.com/thumbs/72/726917031191329.jpg', 'https://img.rnudah.com/thumbs/72/726917039714648.jpg', 'https://img.rnudah.com/thumbs/72/727917038237967.jpg', 'https://img.rnudah.com/thumbs/72/728917036761286.jpg', 'https://img.rnudah.com/thumbs/72/729917035284605.jpg', 'https://img.rnudah.com/thumbs/72/720917033807924.jpg', 'https://img.rnudah.com/thumbs/72/721917032331243.jpg', 'https://img.rnudah.com/thumbs/72/722917030854562.jpg', 'https://img.rnudah.com/thumbs/72/722917039377881.jpg', 'https://img.rnudah.com/thumbs/72/729917034792756.jpg', 'https://img.rnudah.com/thumbs/72/720917033316075.jpg', 'https://img.rnudah.com/thumbs/72/721917031839394.jpg', 'https://img.rnudah.com/thumbs/72/722917030362713.jpg', 'https://img.rnudah.com/thumbs/72/722917038886032.jpg', 'https://img.rnudah.com/thumbs/72/723917037409351.jpg', 'https://img.rnudah.com/thumbs/72/724917035932670.jpg', 'https://img.rnudah.com/thumbs/72/725917034455989.jpg', 'https://img.rnudah.com/thumbs/72/726917032979308.jpg']",HONDA   ,  10 000 - 14 999  ,ODYSSEY   ,7 ,ABSOLUTE  ,4D WAGON , -, 2014  ,JAPAN ,CONTINUOUS VARIABLE,2356 ,10  ,129 ,225 ,ELECTRONIC F/INJ ,PETROL ,4830 ,1800 ,1695 ,2900 ,1820 ,50 ,Ventilated Discs ,Discs ,McSt ,TB , -,215/55R17 94V ,215/55R17 94V ,7Jx17 ,7Jx17 ,RM2 064/month,3.7,-
